WKT,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.8177704 -41.3310606833),1664186,AIMS,1420009,11,Rahui Street,"11 Rahui Street, Strathmore Park, Wellington",Wellington City,,,,,,11,,,,Rahui,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8177704,-41.33106068,Rahui,,,Strathmore Park,Wellington,Rahui Street,"11 Rahui Street, Strathmore Park, Wellington",174.8177704,-41.33106068
POINT (174.8189885167 -41.3338057833),1668499,AIMS,1715599,5B,Tukanae Street,"5B Tukanae Street, Strathmore Park, Wellington",Wellington City,,,,,,5,B,,,Tukanae,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8189885,-41.33380578,Tukanae,,,Strathmore Park,Wellington,Tukanae Street,"5B Tukanae Street, Strathmore Park, Wellington",174.8189885,-41.33380578
POINT (174.8176515333 -41.3340801),1674829,AIMS,1716878,27A,Taiaroa Street,"27A Taiaroa Street, Strathmore Park, Wellington",Wellington City,,,,,,27,A,,,Taiaroa,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8176515,-41.3340801,Taiaroa,,,Strathmore Park,Wellington,Taiaroa Street,"27A Taiaroa Street, Strathmore Park, Wellington",174.8176515,-41.3340801
POINT (174.81764835 -41.33416685),1674830,AIMS,1716879,27B,Taiaroa Street,"27B Taiaroa Street, Strathmore Park, Wellington",Wellington City,,,,,,27,B,,,Taiaroa,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8176484,-41.33416685,Taiaroa,,,Strathmore Park,Wellington,Taiaroa Street,"27B Taiaroa Street, Strathmore Park, Wellington",174.8176484,-41.33416685
POINT (174.8176535667 -41.3342534667),1674831,AIMS,1716880,27C,Taiaroa Street,"27C Taiaroa Street, Strathmore Park, Wellington",Wellington City,,,,,,27,C,,,Taiaroa,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8176536,-41.33425347,Taiaroa,,,Strathmore Park,Wellington,Taiaroa Street,"27C Taiaroa Street, Strathmore Park, Wellington",174.8176536,-41.33425347
POINT (174.8191237333 -41.3303472333),1675190,AIMS,1803081,1/77,Monorgan Road,"1/77 Monorgan Road, Strathmore Park, Wellington",Wellington City,,1,,,,77,,,,Monorgan,Road,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8191237,-41.33034723,Monorgan,,,Strathmore Park,Wellington,Monorgan Road,"1/77 Monorgan Road, Strathmore Park, Wellington",174.8191237,-41.33034723
POINT (174.8191605833 -41.3303826833),1675191,AIMS,1803082,2/77,Monorgan Road,"2/77 Monorgan Road, Strathmore Park, Wellington",Wellington City,,2,,,,77,,,,Monorgan,Road,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8191606,-41.33038268,Monorgan,,,Strathmore Park,Wellington,Monorgan Road,"2/77 Monorgan Road, Strathmore Park, Wellington",174.8191606,-41.33038268
POINT (174.8191974167 -41.3304181333),1675192,AIMS,1803083,3/77,Monorgan Road,"3/77 Monorgan Road, Strathmore Park, Wellington",Wellington City,,3,,,,77,,,,Monorgan,Road,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8191974,-41.33041813,Monorgan,,,Strathmore Park,Wellington,Monorgan Road,"3/77 Monorgan Road, Strathmore Park, Wellington",174.8191974,-41.33041813
POINT (174.8176432333 -41.3338293667),1676242,AIMS,1717173,25C,Taiaroa Street,"25C Taiaroa Street, Strathmore Park, Wellington",Wellington City,,,,,,25,C,,,Taiaroa,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8176432,-41.33382937,Taiaroa,,,Strathmore Park,Wellington,Taiaroa Street,"25C Taiaroa Street, Strathmore Park, Wellington",174.8176432,-41.33382937
POINT (174.8175626167 -41.3339387333),1676243,AIMS,1717174,25B,Taiaroa Street,"25B Taiaroa Street, Strathmore Park, Wellington",Wellington City,,,,,,25,B,,,Taiaroa,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8175626,-41.33393873,Taiaroa,,,Strathmore Park,Wellington,Taiaroa Street,"25B Taiaroa Street, Strathmore Park, Wellington",174.8175626,-41.33393873
